Jumlah Kasus Baru,Jumlah Meninggal,Jumlah Sembuh
2-03-20,0,1,0
3-03-20,3,1,0
4-03-20,0,0,0
5-03-20,4,2,0
6-03-20,0,0,0
7-03-20,0,0,0
8-03-20,0,0,0
9-03-20,27,0,0
10-03-20,0,0,0
11-03-20,2,0,0
12-03-20,26,2,0
13-03-20,10,2,0
14-03-20,7,2,0
15-03-20,16,2,0
16-03-20,2,1,0
17-03-20,25,0,0
18-03-20,38,3,13
19-03-20,51,4,0
20-03-20,13,1,0	
21-03-20,44,5,4
22-03-20,39,4,4
23-03-20,49,2,1
24-03-20,71,3,1
25-03-20,45,9,4
26-03-20,43,6,2
27-03-20,51,8,2
28-03-20,37,5,12
29-03-20,98,5,5
30-03-20,26,11,1
31-03-20,14,6,0
1-04-20,75,6,2
2-04-20,93,5,3
3-04-20,81,2,2
4-04-20,81,1,2
5-04-20,80,24,6
6-04-20,148,8,4
7-04-20,144,10,1
8-04-20,109,3,6
9-04-20,167,11,7
10-04-20,91,1,0
11-04-20,93,12,60
12-04-20,179,27,0
13-04-20,160,14,0
14-04-20,107,34,21
15-04-20,98,3,1
16-04-20,223,2,38
17-04-20,153,2,1
18-04-20,79,7,3
19-04-20,131,35,1
20-04-20,79,5,30
21-04-20,167,8,49
22-04-20,120,3,5
23-04-20,107,8,1
24-04-20,99,15,35
25-04-20,76,19,7	
26-04-20,65,7,4
27-04-20,86,18,0
28-04-20,118,4,3
29-04-20,83,2,71
30-04-20,105,0,0
1-05-20,145,12,15
2-05-20,72,7,145
